"X","logFC","logCPM","F","PValue","FDR","GeneSymbol"
3954,2.28884360428573,3.79386005860854,55.7251702521725,1.15975563243916e-10,5.3551716327878e-07,"LETM1"
525,0.41507986447335,7.98467056107258,51.9680776506882,3.27192269943064e-10,8.63320175121198e-07,"ATP6V1B1"
3290,2.06229459027113,1.34234382678474,49.8406276266042,6.09550149551525e-10,9.84101246999449e-07,"HSD11B1"
830,1.83348271069915,3.24640085711155,46.5243581466382,1.8665536049092e-09,1.77494794517424e-06,"CAPZA2"
28385,0.618470725786551,6.71808787740736,46.1347429166809,2.01807833506546e-09,1.77494794517424e-06,"IGHV6-1"
7113,2.17155235407183,0.183353071267383,44.935309152132,2.33498959728727e-09,1.79696907757899e-06,"TMPRSS2"
9293,0.298404569169688,7.04839539787568,44.970223440842,2.93300691936706e-09,2.08356299233498e-06,"GPR52"
537,2.88074731152417,0.606137382567136,44.0728090915682,3.05503177319692e-09,2.08986803151656e-06,"ATP6AP1"
6441,2.06014102127089,1.79552129891526,44.0041955830611,3.94287575608445e-09,2.42749717382932e-06,"SFTPD"
26690,2.29368836957603,1.64729338414458,43.6904541018155,4.42648174307256e-09,2.46450095124123e-06,"OR4B2P"
6748,0.421394127944252,5.27406073708168,43.6292571715598,4.53670992648629e-09,2.46450095124123e-06,"SSR4"
4911,3.34462344085896,2.28782274688862,42.3329276109207,7.13802821865466e-09,2.92976402663448e-06,"NTF6B"
1350,2.11791116382562,0.123857679215558,40.9558017982333,8.89686833868109e-09,3.21009304169374e-06,"COX7C"
5782,0.68569104455225,7.23446585619245,40.4030819863589,1.31952687488429e-08,4.27573006651104e-06,"PTPN12"
1538,2.44470685911944,0.680523315111367,39.9652951920543,1.38420487378567e-08,4.40304552512406e-06,"CYLC1"
2157,2.24554288759479,4.53619618384821,39.91404532746,1.68728115922358e-08,4.94667984299359e-06,"F8"
23386,0.590501465117127,8.08980609280968,38.6594493332532,2.38156202026352e-08,6.54715941177615e-06,"NUDCD3"
10936,1.38303863859058,1.91168199299193,38.2391770855761,2.64453571414189e-08,6.69103762194531e-06,"GPR75"
6199,1.95874259817064,2.76074245040565,38.3253363318341,2.72008133165656e-08,6.69865362609289e-06,"RPS6KB2"
